Week,DMA_Name,DMA_ID,TRx,TV_Spend,Digital_Spend,Search_Spend,Print_Spend,HCP_Events_Spend,Medical_Journal_Spend,TV_Impressions,Digital_Impressions,Digital_Clicks,Search_Clicks,Print_Impressions,HCP_Email_Sends,Rep_Calls,Sample_Units,Copay_Redemptions,Lagged_TRx,DMA_Population,Competitor_TV_Spend,Seasonality
1/1/2023,New York NY,DMA_001,224283,313480,74003,48394,49907,57755,66446,9966326,8557756,99438,14210,504259,441,3106,1939,35727,201854,7200000,191157,1.259
1/8/2023,New York NY,DMA_001,229202,217960,114206,69520,57444,70567,41757,6839758,15363770,168793,18886,746102,560,2216,1589,39957,194821,7200000,177392,1.281
1/15/2023,New York NY,DMA_001,239624,286130,114125,37893,63982,115165,59040,9498146,12514694,102030,22862,589931,719,3019,2042,44670,203680,7200000,197736,1.313
1/22/2023,New York NY,DMA_001,232200,249458,96172,49364,68316,129429,54495,7066138,11818622,210819,12608,856369,606,2485,2105,54366,197370,7200000,222631,1.311
1/29/2023,New York NY,DMA_001,222906,277720,79555,61437,63533,80836,60811,8504202,8432062,115833,17413,663871,556,2449,1784,47439,189470,7200000,267270,1.259
2/5/2023,New York NY,DMA_001,249772,279798,101560,70471,47257,77635,50024,9668652,15006696,260301,44057,554100,481,2009,1815,49115,212306,7200000,411360,1.292
2/12/2023,New York NY,DMA_001,247879,296387,124825,63175,55030,88106,49780,9074524,15374761,299040,36199,474499,698,2417,1444,51906,210697,7200000,221676,1.274
2/19/2023,New York NY,DMA_001,239032,305827,80796,66052,36129,74411,48208,8557763,10612859,137777,23625,352116,781,3049,2064,42698,203177,7200000,326572,1.308
2/26/2023,New York NY,DMA_001,196439,265788,72012,54871,59435,94483,58143,7611270,8051629,77445,19687,546212,469,2174,1924,49024,166973,7200000,152617,1.128
3/5/2023,New York NY,DMA_001,199519,194426,122000,55587,31945,120219,73538,5283384,14963077,176088,15961,409067,673,2028,1977,31417,169591,7200000,122890,1.144
3/12/2023,New York NY,DMA_001,204991,230644,101373,51306,50855,87069,60128,7399228,11594152,110155,27877,582473,569,2032,1630,43614,174242,7200000,335331,1.151
3/19/2023,New York NY,DMA_001,205901,192932,111783,51701,59905,58456,46747,5980076,13855130,253743,21111,586707,497,2327,1609,43669,175015,7200000,309514,1.139
3/26/2023,New York NY,DMA_001,181723,181706,68206,59071,47970,108324,64976,5636124,8357290,109916,16998,541673,523,2541,1859,42061,154464,7200000,164446,1.053
4/2/2023,New York NY,DMA_001,156143,206793,80603,46160,35671,61573,65580,5948617,9499781,169421,28240,426807,787,1986,1620,29665,132721,7200000,191258,0.865
4/9/2023,New York NY,DMA_001,181113,191475,88058,40450,38859,70720,42963,5065045,12020339,121539,18801,484819,475,2807,2149,42429,153946,7200000,311910,1.053
4/16/2023,New York NY,DMA_001,165177,197756,65839,35077,46703,123516,60726,5848783,8797803,99801,9316,507906,478,2778,1936,41019,140400,7200000,123023,0.988
4/23/2023,New York NY,DMA_001,187270,257930,61184,48788,36772,63147,50998,7432622,8938730,151178,23106,378113,789,2392,1610,34484,159179,7200000,285621,1.038
4/30/2023,New York NY,DMA_001,199454,260971,108966,42222,40481,115376,66939,8091238,11064588,208616,22149,449897,455,2119,1705,45695,169535,7200000,208474,1.084
5/7/2023,New York NY,DMA_001,162800,173474,73848,47123,30596,126558,55133,4899823,9081206,99378,24554,321557,780,2608,1619,38196,138380,7200000,174998,0.937
5/14/2023,New York NY,DMA_001,186674,272642,90802,37477,24371,55863,47418,8673244,10261167,156917,22674,312335,542,2801,1300,44464,158672,7200000,260988,1.016
5/21/2023,New York NY,DMA_001,171294,212202,57790,51383,51747,115702,72235,6774116,8032016,144447,19184,461287,447,1917,2106,36966,145599,7200000,192767,0.971
5/28/2023,New York NY,DMA_001,189442,254265,106141,44834,46859,114023,68821,6774433,10693375,173720,11767,606049,489,2208,1805,47330,161025,7200000,242028,1.094
6/4/2023,New York NY,DMA_001,179012,224280,96722,29978,48503,57846,68472,7627931,11288448,167388,7763,463910,510,2889,1462,29365,152160,7200000,308052,1.047
6/11/2023,New York NY,DMA_001,149369,194521,71176,29191,29068,99040,57030,6553161,8759126,108510,16534,253941,685,2614,1479,36499,126963,7200000,230976,0.861
6/18/2023,New York NY,DMA_001,187751,178923,111524,39762,50218,59279,67533,4539705,13638127,232976,11865,645980,765,2965,2115,32405,159588,7200000,127762,1.078
6/25/2023,New York NY,DMA_001,152554,177460,55402,29649,32448,63102,73209,5795144,8068407,122664,11834,369729,459,2000,1393,33705,129670,7200000,208549,0.909
7/2/2023,New York NY,DMA_001,171866,231865,65483,32542,33552,60850,53117,6604150,9702477,110797,8417,269366,683,3077,1755,42195,146086,7200000,254458,1.027
7/9/2023,New York NY,DMA_001,154488,171667,67679,31063,31675,95197,47454,4911934,7664892,152946,13731,359772,495,2820,1421,33915,131314,7200000,128259,0.895
7/16/2023,New York NY,DMA_001,160006,197891,78049,35889,40102,62810,56829,6300465,10608954,102252,23438,437608,496,2010,1436,28235,136005,7200000,203458,0.915
7/23/2023,New York NY,DMA_001,174386,204418,84241,47326,34461,97421,42556,6009571,10909475,203703,13229,300124,599,2030,1576,32915,148228,7200000,155574,0.997
7/30/2023,New York NY,DMA_001,160860,171659,79968,48156,42210,64709,49229,5544323,11190773,130170,13447,452094,548,2997,1528,34322,136731,7200000,126372,0.93
8/6/2023,New York NY,DMA_001,143138,186021,62417,35708,26230,123678,43823,4774346,6593784,78322,13688,259172,546,2155,1749,24559,121667,7200000,254783,0.878
8/13/2023,New York NY,DMA_001,169295,237307,93760,35233,45704,127338,64561,5959326,12393230,116463,12530,387939,531,2052,1228,34891,143900,7200000,230478,1.006
8/20/2023,New York NY,DMA_001,174339,195583,65472,53286,49894,98862,65655,5739319,9012420,138461,18606,479199,775,2002,1548,40006,148188,7200000,163370,1
8/27/2023,New York NY,DMA_001,283726,330332,103359,69856,47457,88359,68096,10119965,14011886,275258,31621,437091,794,2885,1205,49593,241167,7200000,584982,1.477
9/3/2023,New York NY,DMA_001,275821,405346,100866,57745,55738,98047,47167,12457337,14790426,275511,14729,617763,698,1948,1540,61618,234447,7200000,603093,1.499
9/10/2023,New York NY,DMA_001,246520,245143,98759,41643,57687,112848,65029,7763556,10131013,95358,18142,743581,558,3020,1749,57808,209542,7200000,303128,1.404
9/17/2023,New York NY,DMA_001,243362,220157,136556,64161,56691,129228,60933,7162830,14836540,203445,22599,473488,486,2840,1342,44750,206857,7200000,321384,1.33
9/24/2023,New York NY,DMA_001,258332,335472,100175,54859,32181,96159,58388,8767918,10059899,120187,32293,358445,536,2969,1416,54752,219582,7200000,198121,1.385
10/1/2023,New York NY,DMA_001,240066,278695,85746,36506,65623,111261,42827,7951547,11260087,213618,13818,762046,722,3054,1203,47259,204056,7200000,247887,1.328
10/8/2023,New York NY,DMA_001,264668,345699,144266,62181,35100,102239,46401,12032836,20641111,383657,18414,282756,793,2454,1290,48520,224967,7200000,240725,1.371
10/15/2023,New York NY,DMA_001,277946,285190,152797,49912,51615,126356,48627,8251900,17057864,236209,25368,480910,554,2785,1373,61697,236254,7200000,295927,1.482
10/22/2023,New York NY,DMA_001,278991,352725,112471,47486,70456,128957,59513,10938767,11987651,190296,27776,714728,776,2157,1487,50889,237142,7200000,431987,1.488
10/29/2023,New York NY,DMA_001,272295,404992,140650,59889,36172,117420,65047,12424587,15656220,169411,16295,437474,680,2937,1533,59071,231450,7200000,407962,1.475
11/5/2023,New York NY,DMA_001,240373,330712,101999,58347,46225,88656,46266,8513608,13030832,225462,19548,540426,578,2426,1951,48370,204317,7200000,465155,1.317
11/12/2023,New York NY,DMA_001,206029,273713,113569,56572,44170,70035,42272,9234331,15570646,253426,17774,449066,804,2867,1983,51031,175124,7200000,508612,1.118
11/19/2023,New York NY,DMA_001,192346,247373,83090,43391,47831,92713,60903,7196933,9786347,115170,12160,404217,499,2763,1499,44783,163494,7200000,341174,1.124
11/26/2023,New York NY,DMA_001,203718,290483,77702,37740,37037,126091,57981,8912958,9023844,100861,19124,334751,483,2242,2089,48872,173160,7200000,345562,1.156
12/3/2023,New York NY,DMA_001,196420,260502,68627,57988,34046,105604,50293,7687830,7628791,94660,17554,425492,442,1958,1906,40979,166957,7200000,295864,1.139
12/10/2023,New York NY,DMA_001,211605,282954,122488,41418,63471,84879,58970,8869554,18261547,157246,11987,574371,503,2693,2010,33008,179864,7200000,194817,1.19
12/17/2023,New York NY,DMA_001,196270,224704,106453,58312,29734,126404,44416,6199211,12364005,102505,28219,323358,630,2237,1288,44744,166829,7200000,423523,1.12
12/24/2023,New York NY,DMA_001,195669,284026,83848,60729,54206,123241,52163,9089454,8992394,125550,15254,702666,444,2686,1589,47181,166318,7200000,348024,1.105
12/31/2023,New York NY,DMA_001,263249,311331,145718,54964,71435,78253,69183,9276374,21585040,233691,29509,838720,676,3104,1483,56229,223761,7200000,317056,1.276
1/7/2024,New York NY,DMA_001,238437,300019,102860,59266,37421,65763,67525,8204776,10760384,130303,19604,388959,671,2905,1905,49471,202671,7200000,204755,1.222
1/14/2024,New York NY,DMA_001,262836,258726,117627,43470,33762,66945,54824,6492425,12670921,242045,26345,297008,539,2315,1837,65687,223410,7200000,273227,1.322
1/21/2024,New York NY,DMA_001,232001,228508,112842,45404,45350,123419,72037,7068429,15582323,201457,11559,552656,637,2731,1367,51382,197200,7200000,411291,1.23
1/28/2024,New York NY,DMA_001,275681,350113,122810,56298,74988,64139,73754,10971447,17720103,181421,34990,670163,709,2951,1292,48006,234328,7200000,426032,1.332
2/4/2024,New York NY,DMA_001,270248,392163,142999,39650,71742,68514,48939,10753232,21067244,342439,14385,664911,487,2364,1763,67067,229710,7200000,343712,1.341
2/11/2024,New York NY,DMA_001,262389,264927,124210,70972,49771,104678,58058,8362579,16631113,275667,18009,401529,567,1887,1492,46298,223030,7200000,177859,1.319
2/18/2024,New York NY,DMA_001,263650,314569,118322,60453,56235,57014,49578,7867215,13771226,252157,37713,710790,543,2649,1432,42298,224102,7200000,346506,1.278
2/25/2024,New York NY,DMA_001,238361,258536,82723,71826,59201,70405,57676,7524262,11563257,154136,35300,593194,721,2809,1388,36055,202606,7200000,189084,1.178
3/3/2024,New York NY,DMA_001,214831,254913,74813,47865,56055,63217,61510,8154545,11126253,196592,15624,727749,568,2804,1294,37397,182606,7200000,309660,1.102
3/10/2024,New York NY,DMA_001,223618,249371,78983,44212,60429,62349,74235,6408189,9204577,177960,17059,548601,725,2322,1320,39627,190075,7200000,386488,1.179
3/17/2024,New York NY,DMA_001,209932,202908,105809,36466,30378,119113,61355,5847539,10986688,206007,14122,299520,456,2169,1497,52148,178442,7200000,280108,1.116
3/24/2024,New York NY,DMA_001,193101,282609,63631,31979,37544,88566,71772,9215141,8323604,125732,19138,458106,771,2423,1313,38598,164135,7200000,403440,1.001
3/31/2024,New York NY,DMA_001,169042,225871,85933,30445,40202,59741,50161,7269066,10981093,194125,10802,373831,510,2101,1546,30649,143685,7200000,272098,0.902
